eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude
1010609,ISC,3441732,1999,11,17,0,15,48.579999,1.28,31.223,40.881,4.196,5.1,90,2,9.6,5.14,0.2
1010610,ISC,3441755,1999,11,17,3,36,0.51,0.41,31.353,40.765,3.867,4.1,90,10,,3.87,0.3
1010611,EHB,9266814,1999,11,17,8,15,27.839999,,31.509,40.832,50,32,2,9.1,,5.14,0.2
1010612,ISC,3441954,1999,11,18,18,19,33.07,1.2,31.403,40.823,4.2,5.1,90,7.8,8.7,3.45,0.3
1010614,ISC,3442025,1999,11,19,10,28,0.16,1.15,30.99,40.854,3.106,3.7,90,11.8,8,4.47,0.2
1010615,ISC,3442049,1999,11,19,14,1,14.13,1.06,30.85,40.852,3.61,4.2,90,6.6,8,4.01,0.3
1010616,EHB,9266846,1999,11,19,19,59,8.349999,,31.044,40.794,46,27,5,5.6,,5.08,0.2
1010617,ISC,3442143,1999,11,20,8,44,12.939999,1.39,31.462,40.858,4.03,4.3,90,6.9,10.1,5.14,0.2
1010618,ISC,3442235,1999,11,21,2,49,45.009999,0.54,31.292,40.817,4.788,5.4,90,8,,4.01,0.3
1010619,ISC,3442243,1999,11,21,4,31,42.299999,0.98,30.911,40.82,3.7,4.4,90,9.5,7,3.87,0.3
1010620,ISC,3442263,1999,11,21,7,53,41.75,0.46,31.174,40.746,4.121,5.4,90,10,,3.32,0.3
1010621,EHB,9266874,1999,11,21,22,27,34.7,,31.544,40.761,56,39,177,10,,4.68,0.2
1010622,ISC,3442423,1999,11,22,23,16,53.179999,2.25,31.302,40.807,10.99,5.629,0,6.4,17.9,3.59,0.3
1010628,ISC,3443102,1999,11,29,10,30,45.549999,0.5,31.498,40.796,6.1,4.37,0,10,,3.04,0.3
1010632,ISC,3547565,1999,12,3,12,40,27.969999,1.46,30.981,40.793,8.5,4.622,0,4.4,10,3.59,0.3
1010638,ISC,3548481,1999,12,13,19,13,38.609999,0.78,30.718,40.766,3.3,2.4,0,14.2,5.7,4.74,0.2
1010642,ISC,3549060,1999,12,20,3,27,19.05,0.96,30.957,40.817,3.36,3.9,90,5.5,6.8,4.14,0.2
1010643,ISC,3549061,1999,12,20,3,41,54.28,1.3,30.987,40.884,6.378,6.9,90,0.7,10.9,3.18,0.3
1010658,ISC,3549852,1999,12,29,10,41,58.219999,1.37,30.983,40.756,8.4,5.633,0,9.8,10.2,3.18,0.3
1010660,ISC,3550044,1999,12,30,21,36,42.689999,0.54,30.356,40.699,4.965,5.3,90,6,,2.63,0.3
1010667,ISC,3630255,2000,1,4,16,26,6.559999,0.86,30.69,40.755,3.7,4.9,90,20,8.8,3.73,0.3
1010669,ISC,3630329,2000,1,5,14,10,4.139999,1.32,31.238,40.846,4.6,3.107,0,2.7,10.1,3.87,0.3
1010678,EHB,11206802,2000,1,20,10,36,1.379999,,31.402,40.759,61,38,5,17.3,5.7,4.56,0.3
1010680,ISC,3631702,2000,1,23,7,24,14.66,0.86,30.727,40.79,3.277,4,90,2.7,6.6,3.59,0.3
1010691,EHB,11207019,2000,2,14,6,56,36.649999,,31.735,41.028,46,25,11,10.6,4.3,5.41,0.2
1010702,ISC,3678803,2000,2,26,3,3,40.25,1.29,30.898,40.856,6.8,4.869,0,5.2,9.6,3.18,0.3
1010722,ISC,3855851,2000,3,22,14,49,12.029999,1.25,30.992,40.813,5.4,3.696,0,2.9,9.7,3.45,0.3
1010731,EHB,11207538,2000,4,2,18,57,38.45,,30.328,40.853,46,30,22,2.1,7.1,4.68,0.2
1010875,ISC,4127415,2000,7,7,16,23,56.52,0.5,30.76,40.832,5.375,5.8,90,10,,2.9,0.3
1010905,EHB,11209698,2000,8,23,13,41,29.179999,,30.781,40.787,31,19,5,15.3,,5.3,0
1010950,ISC,4225908,2000,10,19,5,6,22.55,1.24,31.482,40.777,10,4.203,0,24.4,13.9,3.04,0.3
